date,product_id,category,price,user_id,age,gender,location,number_of_reviews,average_rating,purchase_frequency,ad_spend,sales
2020-01-01,P1,Electronics,159.27,U737,39,Male,WA,20,3.8,9,1830.84,4194.1
2020-01-02,P2,Books,632.17,U549,58,Male,IL,27,2.8,8,1041.14,1680.78
2020-01-03,P3,Furniture,382.1,U237,51,Male,NY,3,4.1,6,1700.99,1348.86
2020-01-04,P4,Electronics,266.83,U200,63,Male,TX,39,3.1,5,1756.35,1579.06
2020-01-05,P5,Electronics,919.93,U38,36,Female,NV,35,4.6,1,64.96,798.17
2020-01-06,P6,Furniture,656.83,U214,31,Female,NY,47,4.7,5,532.76,560.82
2020-01-07,P7,Electronics,184.18,U452,59,Male,IL,39,1.8,3,457.24,975.04
2020-01-08,P8,Electronics,555.92,U295,46,Female,CA,21,3.2,2,402.1,4905.75
2020-01-09,P9,Electronics,826.59,U698,55,Male,IL,43,4.4,3,280.49,4912.29
2020-01-10,P10,Furniture,601.31,U779,34,Male,WA,17,2.0,1,1035.65,430.18
2020-01-11,P11,Clothing,582.91,U495,64,Male,NY,34,3.7,9,277.62,2764.19
2020-01-12,P12,Books,313.26,U340,51,Female,NY,2,1.7,3,643.14,4227.99
2020-01-13,P13,Clothing,603.36,U134,29,Male,WA,22,1.2,6,210.18,3913.83
2020-01-14,P14,Books,725.48,U51,25,Female,TX,7,2.9,8,287.8,3720.29
2020-01-15,P15,Electronics,689.27,U922,35,Male,NV,20,1.2,2,103.8,3940.0
2020-01-16,P16,Electronics,471.18,U140,58,Female,WA,20,1.2,8,894.49,677.53
2020-01-17,P17,Clothing,575.49,U758,50,Male,FL,23,2.1,2,261.46,1183.58
2020-01-18,P18,Clothing,989.13,U360,50,Male,NY,19,4.2,4,1771.53,674.47
2020-01-19,P19,Electronics,909.07,U169,20,Female,TX,16,4.3,7,1686.46,4278.76
2020-01-20,P20,Clothing,978.32,U442,44,Female,WA,4,2.3,8,756.19,376.53
2020-01-21,P21,Books,324.75,U458,56,Female,NV,5,3.3,6,269.28,850.82
2020-01-22,P22,Clothing,215.93,U370,60,Male,CA,36,1.3,8,1452.09,3990.13
2020-01-23,P23,Clothing,994.26,U668,37,Male,TX,23,3.7,6,484.55,396.25
2020-01-24,P24,Books,582.27,U926,63,Male,NV,24,4.3,4,1676.86,2482.93
2020-01-25,P25,Clothing,942.36,U407,59,Female,NV,5,4.1,8,1994.99,3125.54
2020-01-26,P26,Electronics,795.65,U291,45,Female,IL,12,1.9,1,491.93,4834.19
2020-01-27,P27,Furniture,181.74,U131,21,Male,CA,0,3.6,9,1949.21,936.43
2020-01-28,P28,Books,371.04,U601,40,Female,FL,17,2.9,4,1506.42,2552.89
2020-01-29,P29,Electronics,98.23,U352,56,Male,OR,5,1.2,2,752.24,721.53
2020-01-30,P30,Clothing,133.42,U586,25,Male,FL,3,4.2,3,825.66,1614.84
2020-01-31,P31,Clothing,781.17,U252,55,Female,NV,10,4.2,8,156.92,1527.36
2020-02-01,P32,Electronics,505.91,U545,29,Female,TX,28,3.1,1,549.59,2338.87
